通し番号,店名,開店年,開店_交代_raw,メニュー,価格_raw,価格円
1,三田本店,1968.0,1968,小,700,700.0
2,目黒店,1995.0,1995,小,600,600.0
3,仙川店,1995.0,1995 （2005）,小,900 ※21,900.0
4,新宿歌舞伎町店,1997.0,1997,小,950,950.0
5,品川店,1997.0,1997,小,950,950.0
6,新宿小滝橋通り店,1999.0,1999,小,1000 ※17,1000.0
7,環七新代田店,2000.0,2000 （2014）,小,1000,1000.0
8,八王子野猿街道店２,2000.0,2000,小,1000 ※13,1000.0
9,池袋東口店,2001.0,2001,小,950,950.0
10,亀戸店,2001.0,2001 （2013）,小,1000,1000.0
11,京急川崎店,2001.0,2001,小,900,900.0
12,府中店,2001.0,2001,小,1000,1000.0
13,松戸駅前店,2002.0,2002 （2012） （2015）,小,1100 ※40,1100.0
14,めじろ台店,2002.0,2002 （2023）,小,900 ※14,900.0
15,荻窪店,2002.0,2002 （2016）,小,1000 ※35,1000.0
16,上野毛店,2002.0,2002 （2006）,小,900 ※36,900.0
17,京成大久保店,2002.0,2002,小,880 ※5,880.0
18,環七一之江店,2003.0,2003,小,900,900.0
19,相模大野店,2003.0,2003,小,950 ※23,950.0
20,横浜関内店,2004.0,2004,小,940,940.0
21,神田神保町店,2004.0,2004,小,1100,1100.0
22,小岩店,2005.0,2005,小,1000 ※16,1000.0
23,ひばりヶ丘駅前店,2006.0,2006,小,1000 ※25,1000.0
24,栃木街道店,2007.0,2007,小,900,900.0
25,立川店,2008.0,2008 （2023）,小,900 ※31,900.0
26,千住大橋駅前店,2009.0,2009,小,850,850.0
27,湘南藤沢店,2010.0,2010,小,990 ※34,990.0
28,西台駅前店,2010.0,2010,小,990 ※26,990.0
29,中山駅前店,2010.0,2010,小,940,940.0
30,仙台店2,2011.0,2011,小,920,920.0
31,札幌店,2013.0,2013,小,900 ※27,900.0
32,会津若松駅前店,2014.0,2014,小,1100 ※28,1100.0
33,新潟店,2015.0,2015,小,1000 ※44,1000.0
34,川越店,2017.0,2017,小,950,950.0
35,京都店,2017.0,2017,小,1150 ※29,1150.0
36,越谷店,2019.0,2019,小,1050 ※37,1050.0
37,前橋千代田店,2019.0,2019,小,1000,1000.0
38,千葉店,2020.0,2020,小,950 ※32,950.0
39,大宮公園駅前店,2020.0,2020,小,900,900.0
40,ひたちなか店,2021.0,2021,小,900,900.0
41,一橋学園店,2022.0,2022,小,900 ※42,900.0
42,柏店,2023.0,2023,小,1050 ※20,1050.0
43,生田駅前店,2023.0,2023,小,800 ※38,800.0
44,朝倉街道駅前店,2024.0,2024,小,850,850.0
45,名古屋大曽根店,2025.0,2025,小,850,850.0
1,三田本店,1968.0,1968,小豚,850,850.0
2,目黒店,1995.0,1995,小豚,700,700.0
3,仙川店,1995.0,1995 （2005）,小豚,1100,1100.0
4,新宿歌舞伎町店,1997.0,1997,小豚,1050,1050.0
5,品川店,1997.0,1997,小豚,1100,1100.0
6,新宿小滝橋通り店,1999.0,1999,小豚,1400,1400.0
7,環七新代田店,2000.0,2000 （2014）,小豚,1150,1150.0
8,八王子野猿街道店２,2000.0,2000,小豚,（1350）,1350.0
9,池袋東口店,2001.0,2001,小豚,1050,1050.0
11,京急川崎店,2001.0,2001,小豚,1000,1000.0
12,府中店,2001.0,2001,小豚,1200,1200.0
13,松戸駅前店,2002.0,2002 （2012） （2015）,小豚,1400,1400.0
14,めじろ台店,2002.0,2002 （2023）,小豚,1050,1050.0
15,荻窪店,2002.0,2002 （2016）,小豚,1200,1200.0
16,上野毛店,2002.0,2002 （2006）,小豚,1000,1000.0
17,京成大久保店,2002.0,2002,小豚,（1080）,1080.0
18,環七一之江店,2003.0,2003,小豚,1000,1000.0
19,相模大野店,2003.0,2003,小豚,（1300）,1300.0
20,横浜関内店,2004.0,2004,小豚,1120,1120.0
21,神田神保町店,2004.0,2004,小豚,1250,1250.0
22,小岩店,2005.0,2005,小豚,（1200）,1200.0
