Entity,Code,Year,Total Installed Price,Non-Module Costs,Module Price
United States,USA,2000,11.242467,7.457352,3.7851148
United States,USA,2001,11.141919,7.595363,3.546556
United States,USA,2002,11.150293,7.5271873,3.623106
United States,USA,2003,10.057785,6.644225,3.4135602
United States,USA,2004,9.381766,5.7430725,3.638694
United States,USA,2005,9.042268,5.3650455,3.6772223
United States,USA,2006,9.120169,5.134615,3.9855537
United States,USA,2007,9.217387,5.2164636,4.0009236
United States,USA,2008,8.817956,5.240183,3.5777729
United States,USA,2009,8.406483,5.998054,2.4084287
United States,USA,2010,7.089459,5.1872883,1.9021708
United States,USA,2011,6.287246,4.980665,1.3065813
United States,USA,2012,5.343541,4.4867063,0.8568347
United States,USA,2013,4.646448,3.8223314,0.82411677
United States,USA,2014,4.2690096,3.4880838,0.78092587
United States,USA,2015,4.053122,3.273122,0.78
