chain,item,variant,effective_date,date_precision,effective_date_source_text,event_type,prev_price_in_store_jpy,new_price_in_store_jpy,prev_price_takeout_jpy,new_price_takeout_jpy,scope,source_tier,source_title,source_url,notes
すき家,牛丼（並盛）,standard,2001-03-01,month,2001年3月,price_change,400,280,,,chainwide,secondary,すき家の牛丼価格まとめ（2001年3月 400→280）,https://gakumado.mynavi.jp/freshers/articles/13761 | https://neage.jp/gaisyoku/fastfood/sukiya.html,
すき家,牛丼（並盛）,standard,2004-02-01,month,2004年2月,sales_suspended,280,,,,chainwide,secondary,すき家の牛丼価格まとめ（BSEで販売休止）,https://gakumado.mynavi.jp/freshers/articles/13761 | https://neage.jp/gaisyoku/fastfood/sukiya.html,
すき家,牛丼（並盛）,standard,2004-09-01,month,2004年9月,sales_resumed,,350,,,chainwide,secondary,すき家の牛丼価格まとめ（販売再開350円）,https://gakumado.mynavi.jp/freshers/articles/13761 | https://neage.jp/gaisyoku/fastfood/sukiya.html,
すき家,牛丼（並盛）,standard,2009-04-23,day_secondary_month_official,2009年4月23日（公式IRは2009年4月と記載）,price_change,350,330,,,chainwide,official_plus_secondary,FY2010Q1決算短信 / 価格まとめ記事,https://www.zensho.co.jp/jp/resource/pdf/ir/finance/brief/pdf_br_fy2010q1.pdf | https://gakumado.mynavi.jp/freshers/articles/13761,公式IRは『2009年4月に350円から330円へ』、二次資料は4/23を提示。
すき家,牛丼（並盛）,standard,2009-12-07 09:00,day_time,2009年12月7日9時,price_change,330,280,,,chainwide,official,牛丼価格改定のお知らせ,https://www.sukiya.jp/news/pdf/091207.pdf,PDF OCRが一部乱れるが、公式PDFと当時報道で330→280を確認。
すき家,牛丼（並盛）,standard,2014-04-01,day,2014年4月1日,price_change,280,270,,,chainwide,official,牛丼商品価格改定のお知らせ,https://www.sukiya.jp/news/pdf/Press_sukiya_20140331.pdf,税込で280円→270円。
すき家,牛丼（並盛）,standard,2014-08-27,day,2014年8月27日,price_change,270,291,,,chainwide,official,牛丼商品価格改定のお知らせ,https://www.sukiya.jp/news/2014/08/20140827.html,本体250円→270円、税込270円→291円。
すき家,牛丼（並盛）,standard,2015-04-15,day,2015年4月15日,price_change,291,350,,,chainwide,official,『牛丼NEW VALUE』スタート,https://www.sukiya.jp/news/2015/04/20150415-2.html,肉を20%増量し税込350円へ。
すき家,牛丼（並盛）,standard,2021-12-23 09:00,day_time,2021年12月23日9時,price_change,350,400,,,chainwide,official,価格改定のお知らせ,https://www.sukiya.jp/news/2021/12/20211220.html,
すき家,牛丼（並盛）,standard,2024-04-03 09:00,day_time,2024年4月3日9時,price_change,400,430,,,chainwide,official,一部商品価格改定のお知らせ,https://www.sukiya.jp/news/Press_sukiya_20240329.pdf,同日から深夜料金7%を導入。
